blockchain,project,version,block_date,tx_hash,evt_index,token_bought_address,token_sold_address,block_number,token_bought_amount_raw,token_sold_amount_raw
sonic,curvefi,2,2025-04-13,0xdb03724554e33aa8b945963ca8f63057d239ba940437fc0a681b8f3e56558861,3,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x6047828dc181963ba44974801FF68e538dA5eaF9,20011082,1207,1208
sonic,curvefi,2,2025-04-14,0xbe81547709271be45aae5b5d22f9278fa4f7f33b47faa2d8a1be844d1204eede,58,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,20135640,31012560493316614,31000000000000000
